time,mean,min,max,source,climatology,anomaly
1940-08-17 00:00:00+00:00,17.23,13.69,20.54,ERA5,17.69,-0.46
1940-08-18 00:00:00+00:00,18.9,12.67,24.86,ERA5,17.62,1.28
1940-08-19 00:00:00+00:00,15.68,12.06,17.83,ERA5,17.54,-1.85
1940-08-20 00:00:00+00:00,14.62,10.76,18.35,ERA5,17.46,-2.84
1940-08-21 00:00:00+00:00,14.15,10.56,16.2,ERA5,17.39,-3.24
1940-08-22 00:00:00+00:00,12.45,10.08,16.22,ERA5,17.33,-4.88
1940-08-23 00:00:00+00:00,12.2,9.5,15.08,ERA5,17.26,-5.05
1940-08-24 00:00:00+00:00,12.61,10.16,14.72,ERA5,17.17,-4.56
1940-08-25 00:00:00+00:00,15.88,12.16,19.71,ERA5,17.09,-1.21
1940-08-26 00:00:00+00:00,17.25,13.1,22.21,ERA5,17.0,0.25
1940-08-27 00:00:00+00:00,16.19,12.55,20.69,ERA5,16.91,-0.72
1940-08-28 00:00:00+00:00,13.72,7.93,16.13,ERA5,16.83,-3.11
1940-08-29 00:00:00+00:00,12.79,7.66,17.05,ERA5,16.74,-3.95
1940-08-30 00:00:00+00:00,12.53,8.02,16.85,ERA5,16.65,-4.12
1940-08-31 00:00:00+00:00,14.53,6.5,22.1,ERA5,16.57,-2.03
1940-09-01 00:00:00+00:00,17.87,11.93,24.53,ERA5,16.48,1.39
1940-09-02 00:00:00+00:00,16.38,10.76,21.63,ERA5,16.38,0.0
1940-09-03 00:00:00+00:00,16.44,10.04,23.97,ERA5,16.28,0.16
1940-09-04 00:00:00+00:00,18.69,12.31,25.8,ERA5,16.18,2.52
1940-09-05 00:00:00+00:00,20.85,13.67,28.39,ERA5,16.06,4.79
1940-09-06 00:00:00+00:00,18.99,11.83,25.54,ERA5,15.94,3.05
1940-09-07 00:00:00+00:00,17.04,10.45,23.92,ERA5,15.82,1.22
1940-09-08 00:00:00+00:00,15.84,11.93,20.21,ERA5,15.71,0.13
1940-09-09 00:00:00+00:00,11.77,9.48,13.25,ERA5,15.6,-3.83
1940-09-10 00:00:00+00:00,12.77,7.34,16.42,ERA5,15.5,-2.73
1940-09-11 00:00:00+00:00,12.6,6.8,15.14,ERA5,15.4,-2.81
1940-09-12 00:00:00+00:00,11.22,5.42,15.49,ERA5,15.29,-4.07
1940-09-13 00:00:00+00:00,13.17,11.1,15.32,ERA5,15.19,-2.02
1940-09-14 00:00:00+00:00,11.9,10.37,14.26,ERA5,15.08,-3.18
1940-09-15 00:00:00+00:00,11.08,7.54,13.58,ERA5,14.97,-3.89
1940-09-16 00:00:00+00:00,11.91,7.08,15.89,ERA5,14.85,-2.94
1940-09-17 00:00:00+00:00,15.72,12.09,18.17,ERA5,14.73,0.99
1940-09-18 00:00:00+00:00,14.59,11.25,17.82,ERA5,14.6,-0.0
1940-09-19 00:00:00+00:00,15.28,11.82,19.72,ERA5,14.47,0.81
1940-09-20 00:00:00+00:00,14.79,12.1,17.26,ERA5,14.34,0.45
1940-09-21 00:00:00+00:00,13.87,11.94,15.13,ERA5,14.21,-0.35
1940-09-22 00:00:00+00:00,15.49,12.6,17.54,ERA5,14.09,1.4
1940-09-23 00:00:00+00:00,14.81,10.63,17.24,ERA5,13.97,0.84
1940-09-24 00:00:00+00:00,12.0,8.59,15.85,ERA5,13.86,-1.86
1940-09-25 00:00:00+00:00,10.24,7.06,14.39,ERA5,13.75,-3.51
1940-09-26 00:00:00+00:00,10.8,6.16,15.06,ERA5,13.63,-2.84
1940-09-27 00:00:00+00:00,11.32,7.27,14.77,ERA5,13.52,-2.19
1940-09-28 00:00:00+00:00,11.53,6.91,14.23,ERA5,13.41,-1.88
1940-09-29 00:00:00+00:00,9.75,6.16,13.28,ERA5,13.3,-3.55
1940-09-30 00:00:00+00:00,6.91,3.46,11.24,ERA5,13.19,-6.28
1940-10-01 00:00:00+00:00,7.81,2.6,12.68,ERA5,13.08,-5.26
1940-10-02 00:00:00+00:00,8.77,4.88,11.04,ERA5,12.98,-4.21
1940-10-03 00:00:00+00:00,10.43,8.49,12.92,ERA5,12.87,-2.44
1940-10-04 00:00:00+00:00,10.85,8.19,12.3,ERA5,12.76,-1.91
1940-10-05 00:00:00+00:00,12.99,11.15,15.38,ERA5,12.64,0.34
1940-10-06 00:00:00+00:00,14.78,12.25,17.31,ERA5,12.51,2.27
1940-10-07 00:00:00+00:00,12.14,6.56,15.03,ERA5,12.39,-0.25
1940-10-08 00:00:00+00:00,10.47,6.05,15.46,ERA5,12.27,-1.81
1940-10-09 00:00:00+00:00,13.08,9.39,17.43,ERA5,12.15,0.93
1940-10-10 00:00:00+00:00,11.81,9.36,14.34,ERA5,12.03,-0.21
1940-10-11 00:00:00+00:00,10.05,7.16,12.68,ERA5,11.89,-1.84
1940-10-12 00:00:00+00:00,9.94,5.55,13.49,ERA5,11.76,-1.82
1940-10-13 00:00:00+00:00,7.9,3.57,11.89,ERA5,11.63,-3.73
1940-10-14 00:00:00+00:00,11.72,8.28,15.97,ERA5,11.51,0.22
1940-10-15 00:00:00+00:00,12.08,8.06,16.6,ERA5,11.39,0.69
